,product_name,new_price,old_price,discount_ratio,shipping,rating_point,rating_number,seller_name,seller_point,price_class
767,Slazenger VANDAL I Koşu & Yürüyüş Erkek Ayakkabı Lacivert,119.0,224.0,47,freeShipping,100,1,Slazenger,92,3
768,Slazenger ATOMIC Sneaker Kadın Ayakkabı K.Gri,149.0,219.0,32,freeShipping,0,0,Slazenger,92,3
769,Slazenger KOBRA Yürüyüş Kadın Ayakkabı Siyah / Siyah,109.0,184.0,41,freeShipping,0,0,Slazenger,92,3
770,Slazenger IRONIC Koşu & Yürüyüş Kadın Ayakkabı Pembe,129.0,249.0,48,freeShipping,0,0,Slazenger,92,3
771,Jump 134H Siyah Halısaha Erkek Futbol Ayakkabı,125.0,244.0,49,freeShipping,100,1,Potincim,100,3
772,U.S Polo Assn. REGGIE 1FX Lacivert Erkek Sneaker,107.0,179.0,41,freeShipping,0,0,INSTREET,92,3
773,U.S. Polo Assn. Dazzle Kadın Günlük Spor Ayakkabı,136.0,184.0,26,freeShipping,100,1,dalkilicspor,93,3
774,Lumberjack ROCCO 1PR Siyah Erkek Çocuk Spor Ayakkabı,134.0,169.0,21,freeShipping,0,0,INSTREET,92,3
775,Slazenger EDWIN Sneaker Erkek Ayakkabı Lacivert / Gümüş,109.0,184.0,41,freeShipping,0,0,Slazenger,92,3
776,JUMP 26522 HALI SAHA COMFORT ERKEK SPOR AYAKKABISI,149.0,199.0,25,freeShipping,0,0,özenayakkabıçanta,100,3
777,Kinetix Admes M (40-45) Erkek Spor Ayakkabı,129.0,149.0,13,freeShipping,100,3,AKKUŞOĞLUAYAKKABI,98,3
778,Kinetix Tapas W Siyah Mor Bayan Spor Ayakkabı,148.0,229.0,35,freeShipping,0,0,ayakkabımood,100,3
779,Wickers 2423 Erkek Spor Ayakkabı Siyah Füme,143.0,235.0,39,noShipping,0,0,Hesapex,100,3
780,M.P. 211-1176 Erkek Günlük Spor Ayakkabı,114.0,204.0,44,freeShipping,0,0,ÖZKALYONSPOR,99,3
781,Kinetix LINDA 1PR Siyah Kız Çocuk Spor Ayakkabı,106.0,0.0,0,freeShipping,0,0,FLO,93,3
782,TOMMS Erkek Spor Sneaker Ayakkabı KEEWAY-855,119.0,409.0,71,freeShipping,100,1,tomms_shoes,99,3
783,Jump 134K-A Siyah Halısaha Krampon Erkek Çocuk Futbol Ayakkabı,125.0,244.0,49,freeShipping,100,1,Potincim,100,3
784,JUMP 20380 SİYAH YENİ SEZON ERKEK SPOR AYAKKABI,109.0,149.0,27,freeShipping,0,0,rüyaayakkabı,100,3
785,M.P ORTOPEDİK TABAN ERKEK KOŞU VE YÜRÜYÜŞ AYAKKABISI,139.0,179.0,22,freeShipping,100,1,Metingiyimayakkabı,96,3
786,Kinetix Wılly Erkek Spor Günlük Ayakkabısı SİYAH - TURUNCU,129.0,149.0,13,freeShipping,100,1,OCHOHERMANO's,92,3
787,U.S. Polo Assn. Franco 1FX Erkek Günlük Spor Ayakkabı,143.0,194.0,26,freeShipping,100,1,dalkilicspor,93,3
788,Kadın Günlük Spor Ayakkabı 5 Renk,139.0,299.0,53,freeShipping,0,0,Ayakkabıhobim,98,3
789,Jump 27047 Erkek Krampon Ayakkabı,129.0,199.0,35,freeShipping,0,0,Viaspor,100,3
790,Jump 26522 (36-44) Halı Saha Erkek Futbol Ayakkabı,139.0,199.0,30,freeShipping,0,0,AKKUŞOĞLUAYAKKABI,98,3
791,Erkek Hali Saha  M.P 1800,103.0,0.0,0,freeShipping,0,0,CityParkOne,96,3
792,Kinetix Çocuk Beşiktaş Lisanslı Günlük Spor Ayakkabısı,116.0,149.0,22,freeShipping,0,0,BATMAZOGLUAYAKKABI,100,3
793,JUMP 22233 YENİ SEZON ERKEK SPOR AYAKKABI,131.0,179.0,27,freeShipping,100,2,rüyaayakkabı,100,3
794,Jump Kids Anatomik Tabanlı Cırtlı Çocuk Spor Ayakkabı 5 Renk,142.0,209.0,32,freeShipping,100,1,Viaspor,100,3
795,KİNETİX ROHA CAMO MID OUTDOOR KAMUFLAJ ERKEK ÇOCUK SPOR AYAKKABI,149.0,164.0,9,freeShipping,0,0,fbkayakkabi,97,3
796,Jump 24094 Erkek Spor Ayakkabı BEJ,139.0,209.0,33,freeShipping,0,0,Modalist,95,3
797,Hummel THOR ENERGY JR Beyaz Kız Çocuk Sneaker Ayakkabı,126.0,239.0,47,freeShipping,100,1,INSTREET,92,3
798,Wickers 2333 Günlük Erkek Spor Ayakkabı Bağcıklı Siyah,119.0,159.0,25,freeShipping,0,0,BudaksKundura,92,3
799,Kinetix Rivero Işıklı Taban Mor Fuşya Kız Çocuk Sneaker,129.0,0.0,0,freeShipping,0,0,Sporsel,100,3
800,KİNETİX VESTA GÜNLÜK CONFORT SPOR AYAKKABISI,129.0,199.0,35,freeShipping,0,0,özenayakkabıçanta,100,3
801,Kinetix MOLDYN 1FX Pembe Kız Çocuk Koşu Ayakkabısı,118.0,159.0,26,freeShipping,0,0,INSTREET,92,3
802,Slazenger TUESDAY Sneaker Kadın Ayakkabı Siyah / Beyaz,119.0,184.0,35,freeShipping,0,0,Slazenger,92,3
803,Slazenger SHELL I Koşu & Yürüyüş Erkek Ayakkabı Beyaz / Gri,119.0,279.0,57,freeShipping,100,2,Slazenger,92,3
